,singular,singular,singular,dual,dual,plural,plural,plural
,first,second,third,second,third,first,second,third
0,εἰμί,ἐσσί  /  εἶς,ἐστί  /  ἐστίν,ἐστόν,ἐστόν,εἰμέν,ἐστέ,εἰσί  (  ν  )/  ἔᾱσι  (  ν  )
1,ἔω,ᾖς,ἔῃ  /  ἔῃσι  /  ᾖσι,,,,ἦτε,ἔωσι  (  ν  )/  ὦσι  (  ν  )
2,εἴην,εἴης  /  ἔοις,εἴη  /  ἔοι,εἴητον  /  εἶτον,εἰήτην  /  εἴτην,εἴημεν  /  εἶμεν,εἴητε  /  εἶτε,εἴησαν  /  εἶεν
4,active,active,active,active,,,,
5,εἶναι  /  ἔμμεναι  /  ἔμεναι  /  ἔμμεν  /  ἔμεν,εἶναι  /  ἔμμεναι  /  ἔμεναι  /  ἔμμεν  /  ἔμεν,εἶναι  /  ἔμμεναι  /  ἔμεναι  /  ἔμμεν  /  ἔμεν,εἶναι  /  ἔμμεναι  /  ἔμεναι  /  ἔμμεν  /  ἔμεν,,,,
6,ἐών  /  ὤν,ἐών  /  ὤν,ἐών  /  ὤν,ἐών  /  ὤν,,,,
7,ἐοῦσα  /  οὖσα,ἐοῦσα  /  οὖσα,ἐοῦσα  /  οὖσα,ἐοῦσα  /  οὖσα,,,,
8,ἐόν  /  ὄν,ἐόν  /  ὄν,ἐόν  /  ὄν,ἐόν  /  ὄν,,,,
9,"This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  .","This table gives Attic inflectional endings. For conjugation in dialects other than Attic, see  Appendix:Ancient Greek dialectal conjugation  ."
