,0,1,2,3,4
1,Indicative mood  ,Imperfective aspect  ,Perfective aspect  ,Imperfective aspect,Perfective aspect
2,Non-past tenses  ,Present  ,Dependent  ,Present,Dependent
3,1  sg,μισώ,μισήσω,μισούμαι  -  μισιέμαι  1,μισηθώ
4,2  sg,μισείς,μισήσεις,μισείσαι  -  μισιέσαι,μισηθείς
5,3  sg,μισεί,μισήσει,μισείται  -  μισιέται,μισηθεί
7,1  pl,μισούμε,"μισήσουμε  , [  -ομε  ]",μισούμαστε  -  μισιόμαστε,μισηθούμε
8,2  pl,μισείτε,μισήσετε,"μισείστε  -  μισιέστε  ,  μισιόσαστε",μισηθείτε
9,3  pl,μισούν  (  ε  ),μισήσουν  (  ε  ),"μισούνται  -  μισιούνται  ,  μισιόνται",μισηθούν  (  ε  )
11,Past tenses  ,Imperfect  ,Simple past  ,Imperfect,Simple past
12,1  sg,μισούσα,μίσησα,[  μισούμουν  (  α  )] -  μισιόμουν  (  α  )  1,μισήθηκα
13,2  sg,μισούσες,μίσησες,[  μισούσουν  (  α  )] -  μισιόσουν  (  α  ),μισήθηκες
14,3  sg,μισούσε,μίσησε,"μισούνταν  , {  μισείτο  } -  μισιόταν  (  ε  )",μισήθηκε
16,1  pl,μισούσαμε,μισήσαμε,"μισούμασταν  , (  ‑ούμαστε  ) -  μισιόμασταν  , (  ‑ιόμαστε  )",μισηθήκαμε
17,2  pl,μισούσατε,μισήσατε,"[  μισούσασταν  , (  ‑ούσαστε  )] -  μισιόσασταν  , (  ‑ιόσαστε  )",μισηθήκατε
18,3  pl,μισούσαν  (  ε  ),"μίσησαν  ,  μισήσαν  (  ε  )","μισούνταν  , {  μισούντο  } -  μισιούνταν  , (  μισιόντουσαν  )","μισήθηκαν  ,  μισηθήκαν  (  ε  )"
20,Future tenses  ,Continuous  ,Simple  ,Continuous,Simple
21,1  sg,θα  μισώ  ,θα  μισήσω  ,θα  μισούμαι  -  μισιέμαι  ,θα  μισηθώ  
22,"2,3  sg  , 1,2,3  pl","θα  μισείς  , …","θα  μισήσεις  , …","θα  μισείσαι  -  μισιέσαι  , …","θα  μισηθείς  , …"
25,Present perfect  ,"έχω  ,  έχεις  , …  μισήσει  έχω, έχεις, …  μισημένο  , ‑η, ‑ο  ","έχω  ,  έχεις  , …  μισήσει  έχω, έχεις, …  μισημένο  , ‑η, ‑ο  ","έχω, έχεις, …  μισηθεί  είμαι  ,  είσαι  , …  μισημένος  , ‑η, ‑ο  ","έχω, έχεις, …  μισηθεί  είμαι  ,  είσαι  , …  μισημένος  , ‑η, ‑ο  "
26,Past perfect  ,"είχα  ,  είχες  , …  μισήσει  είχα, είχες, …  μισημένο  , ‑η, ‑ο","είχα  ,  είχες  , …  μισήσει  είχα, είχες, …  μισημένο  , ‑η, ‑ο","είχα, είχες, …  μισηθεί  ήμουν  ,  ήσουν  , …  μισημένος  , ‑η, ‑ο","είχα, είχες, …  μισηθεί  ήμουν  ,  ήσουν  , …  μισημένος  , ‑η, ‑ο"
27,Future perfect  ,"θα  έχω, θα έχεις, …  μισήσει  θα έχω, θα έχεις, …  μισημένο  , ‑η, ‑ο","θα  έχω, θα έχεις, …  μισήσει  θα έχω, θα έχεις, …  μισημένο  , ‑η, ‑ο","θα έχω, θα έχεις, …  μισηθεί  θα είμαι, θα είσαι, …  μισημένος  , ‑η, ‑ο","θα έχω, θα έχεις, …  μισηθεί  θα είμαι, θα είσαι, …  μισημένος  , ‑η, ‑ο"
29,Subjunctive mood  ,"Formed using  present  ,  dependent  (for  simple past  ) or  present perfect  from above with a particle (  να  ,  ας  ).","Formed using  present  ,  dependent  (for  simple past  ) or  present perfect  from above with a particle (  να  ,  ας  ).","Formed using  present  ,  dependent  (for  simple past  ) or  present perfect  from above with a particle (  να  ,  ας  ).","Formed using  present  ,  dependent  (for  simple past  ) or  present perfect  from above with a particle (  να  ,  ας  )."
31,Imperative mood  ,Imperfective aspect,Perfective aspect,Imperfective aspect,Perfective aspect
32,2  sg,—,μίσησε,—,μισήσου
33,2  pl,μισείτε,μισήστε,μισείστε  -  μισιέστε,μισηθείτε
35,Other forms,Active voice,Active voice,Passive voice,Passive voice
36,Present participle  ,μισώντας  ,μισώντας  ,"{  μισούμενος  , -η, -ο}  ","{  μισούμενος  , -η, -ο}  "
37,Perfect participle  ,έχοντας  μισήσει  ,έχοντας  μισήσει  ,"μισημένος  , ‑η, ‑ο  ","μισημένος  , ‑η, ‑ο  "
39,Nonfinite form  ,μισήσει,μισήσει,μισηθεί,μισηθεί
